StationId	DataType	FileName	Id	Lat	Long	Scenario	Constituent	SDate	EDate	YrCount	Value	StaNam
USC00010008	WdmFinal	USC00010008.dat	1	31.5702	-85.2482	OBSERVED	PREC	'1990/01/01'	'2017/12/31'	28.0	53.5	ABBEVILLE
USC00010063	WdmFinal	USC00010063.dat	1	34.2553	-87.1814	OBSERVED	PREC	'1990/01/01'	'2020/12/31'	31.0	60.12	ADDISON
USC00010140	WdmFinal	USC00010140.dat	1	32.2322	-87.4104	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	60.39	ALBERTA
USC00010252	WdmFinal	USC00010252.dat	1	31.3071	-86.5226	OBSERVED	PREC	'1990/01/01'	'2017/12/31'	28.0	61.17	ANDALUSIA 3 W
USC00010369	WdmFinal	USC00010369.dat	1	33.2941	-85.7788	OBSERVED	PREC	'1990/01/01'	'2012/12/31'	23.0	55.87	ASHLAND 3 ENE
USC00010390	WdmFinal	USC00010390.dat	1	34.7752	-86.9508	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	58.26	ATHENS
USC00010402	WdmFinal	USC00010402.dat	1	31.182	-87.439	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	64.2	ATMORE
USC00010425	WdmFinal	USC00010425.dat	1	32.5992	-85.4653	OBSERVED	PREC	'1997/01/01'	'2021/12/31'	25.0	54.74	AUBURN NO.2
USC00010748	WdmFinal	USC00010748.dat	1	33.6971	-87.6488	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	58.63	BERRY 3 NW
USC00010957	WdmFinal	USC00010957.dat	1	34.2008	-86.1633	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	58.25	BOAZ
USC00011099	WdmFinal	USC00011099.dat	1	34.9786	-85.8008	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	60.49	BRIDGEPORT 5 NW
USC00012124	WdmFinal	USC00012124.dat	1	32.8622	-85.7358	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	51.45	DADEVILLE 2
USC00012172	WdmFinal	USC00012172.dat	1	30.2505	-88.0775	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	66.81	DAUPHIN ISLAND #2
USC00012377	WdmFinal	USC00012377.dat	1	31.2833	-85.4	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	54.53	DOTHAN 4 NW
USC00012675	WdmFinal	USC00012675.dat	1	31.2975	-85.8996	OBSERVED	PREC	'1990/01/01'	'2020/12/31'	31.0	61.38	ENTERPRISE 4 W
USC00013043	WdmFinal	USC00013043.dat	1	34.4406	-85.7236	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	57.47	FORT PAYNE
USC00013519	WdmFinal	USC00013519.dat	1	31.7901	-86.6087	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	59.57	GREENVILLE
USC00013620	WdmFinal	USC00013620.dat	1	34.2314	-87.6352	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	62.9	HALEYVILLE
USC00013645	WdmFinal	USC00013645.dat	1	34.1388	-87.9947	OBSERVED	PREC	'1990/01/01'	'2020/12/31'	31.0	59.83	HAMILTON 3 S
USC00014193	WdmFinal	USC00014193.dat	1	31.5253	-87.9277	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	62.48	JACKSON
USC00014209	WdmFinal	USC00014209.dat	1	33.8259	-85.7812	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	49.91	JACKSONVILLE
USC00015397	WdmFinal	USC00015397.dat	1	32.0347	-85.474	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	50.38	MIDWAY
USC00015553	WdmFinal	USC00015553.dat	1	32.26	-86.218	OBSERVED	PREC	'1999/01/01'	'2021/12/31'	23.0	50.26	MONTGOMERY 6SW
USC00018178	WdmFinal	USC00018178.dat	1	31.9172	-87.7347	OBSERVED	PREC	'1990/01/01'	'2013/12/31'	24.0	56.17	THOMASVILLE
USC00018209	WdmFinal	USC00018209.dat	1	32.9205	-86.6708	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	55.54	THORSBY EXP STATION
USC00018385	WdmFinal	USC00018385.dat	1	33.2097	-87.5936	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	41.73	TUSCALOOSA OLIVER DAM
USC00018517	WdmFinal	USC00018517.dat	1	33.7392	-88.1275	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	54.96	VERNON
USC00018670	WdmFinal	USC00018670.dat	1	33.7924	-86.8258	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	57.0	WARRIOR
USC00018673	WdmFinal	USC00018673.dat	1	32.7747	-87.8306	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	52.78	WARRIOR LOCK AND DAM
USC00020080	WdmFinal	USC00020080.dat	1	32.3698	-112.8599	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	8.43	AJO
USC00020487	WdmFinal	USC00020487.dat	1	35.1989	-112.4886	OBSERVED	PREC	'1990/01/01'	'2020/12/31'	31.0	14.09	ASH FORK 3
USC00020808	WdmFinal	USC00020808.dat	1	33.4783	-109.7516	OBSERVED	PREC	'1990/01/01'	'2020/12/31'	31.0	18.85	BLACK RIVER PUMPS
USC00021574	WdmFinal	USC00021574.dat	1	34.54	-110.9152	OBSERVED	PREC	'1990/01/01'	'2020/12/31'	31.0	20.58	CHEVELON RANGER STATION
USC00021749	WdmFinal	USC00021749.dat	1	34.05	-110.45	OBSERVED	PREC	'1990/01/01'	'2020/12/31'	31.0	18.48	CIBECUE
USC00021870	WdmFinal	USC00021870.dat	1	32.0588	-109.8908	OBSERVED	PREC	'1990/01/01'	'2020/12/31'	31.0	13.24	COCHISE 4 SSE
USC00022329	WdmFinal	USC00022329.dat	1	34.2097	-112.3453	OBSERVED	PREC	'1990/01/01'	'2020/12/31'	31.0	25.02	CROWN KING
USC00022754	WdmFinal	USC00022754.dat	1	32.748	-109.1213	OBSERVED	PREC	'1990/01/01'	'2021/12/31'	32.0	10.86	DUNCAN
