StnID,Lat,Lon,Elev,State/Province,Name,WMO_ID,Sample_Interval (min),UTC_Offset,POR_Date_Range,PCT_POR_Good,Last_Half_POR,PCT_Last_Half_Good,Last_Qtr_POR,PCT_Last_Qtr_Good
USC00010008,31.5702,-85.2482,139.0,AL,ABBEVILLE,,15,-6,19480601-20180418, 83.6%,19830510-20180418, 70.2%,20001028-20180418, 65.8%
USC00010063,34.2553,-87.1814,249.3,AL,ADDISON,,15,-6,19480601-20210606, 85.8%,19841203-20210606, 83.2%,20030306-20210606, 74.6%
USC00010140,32.2322,-87.4104,53.3,AL,ALBERTA,,15,-6,19630926-20211231, 94.4%,19921112-20211231, 92.0%,20070607-20211231, 89.7%
USC00010252,31.3071,-86.5226,76.2,AL,ANDALUSIA 3 W,,15,-6,19800301-20180205, 89.1%,19990217-20180205, 92.3%,20080812-20180205, 97.5%
USC00010369,33.2941,-85.7788,311.5,AL,ASHLAND 3 ENE,,15,-6,19480601-20130804, 84.6%,19810101-20130804, 81.4%,19970418-20130804, 70.7%
USC00010390,34.7752,-86.9508,210.0,AL,ATHENS,,15,-6,19820601-20211231, 83.7%,20020317-20211231, 90.9%,20120207-20211231, 98.7%
USC00010402,31.1820,-87.4390,91.4,AL,ATMORE,,15,-6,19480601-20211231, 63.3%,19850317-20211231, 84.4%,20030809-20211231, 94.8%
USC00010425,32.5992,-85.4653,166.1,AL,AUBURN NO.2,,15,-6,20001201-20211231, 83.7%,20110617-20211231, 97.2%,20160923-20211231, 96.7%
USC00010748,33.6971,-87.6488,150.3,AL,BERRY 3 NW,,15,-6,19480601-20211231, 78.9%,19850317-20211231, 79.8%,20030809-20211231, 83.2%
USC00010957,34.2008,-86.1633,326.1,AL,BOAZ,,15,-6,19480601-20211231, 82.3%,19850317-20211231, 73.4%,20030809-20211231, 88.5%
USC00011099,34.9786,-85.8008,202.4,AL,BRIDGEPORT 5 NW,,15,-6,19821101-20211231, 87.7%,20020601-20211231, 92.3%,20120316-20211231, 98.1%
USC00012124,32.8622,-85.7358,223.4,AL,DADEVILLE 2,,15,-6,19480601-20211231, 87.9%,19850317-20211231, 80.9%,20030809-20211231, 73.9%
USC00012172,30.2505,-88.0775,2.4,AL,DAUPHIN ISLAND #2,,15,-6,19750801-20211231, 91.6%,19981016-20211231, 88.1%,20100524-20211231, 89.4%
USC00012377,31.2833,-85.4000,95.1,AL,DOTHAN 4 NW,,15,-6,19520401-20211231, 84.0%,19870215-20211231, 81.6%,20040724-20211231, 78.3%
USC00012675,31.2975,-85.8996,102.7,AL,ENTERPRISE 4 W,,15,-6,19710401-20210702, 83.4%,19960516-20210702, 80.9%,20081208-20210702, 80.7%
USC00013043,34.4406,-85.7236,279.5,AL,FORT PAYNE,,15,-6,19480601-20211231, 85.4%,19850317-20211231, 84.5%,20030809-20211231, 97.1%
USC00013519,31.7901,-86.6087,104.2,AL,GREENVILLE,,15,-6,19710901-20211231, 88.8%,19961031-20211231, 84.0%,20090601-20211231, 92.7%
USC00013620,34.2314,-87.6352,280.4,AL,HALEYVILLE,,15,-6,19480601-20211231, 85.4%,19850317-20211231, 79.1%,20030809-20211231, 78.6%
USC00013645,34.1388,-87.9947,149.4,AL,HAMILTON,,15,-6,19671103-20210209, 82.3%,19940622-20210209, 81.6%,20071016-20210209, 91.9%
USC00014193,31.5253,-87.9277,67.1,AL,JACKSON,,15,-6,19611023-20211231, 81.3%,19911127-20211231, 86.8%,20061214-20211231, 92.1%
USC00014209,33.8259,-85.7812,192.0,AL,JACKSONVILLE,,15,-6,19480601-20211231, 82.7%,19850317-20211231, 73.0%,20030809-20211231, 80.5%
USC00015397,32.0347,-85.4740,125.6,AL,MIDWAY,,15,-6,19480601-20211231, 83.4%,19850317-20211231, 77.7%,20030809-20211231, 66.6%
USC00015553,32.2600,-86.2180,68.6,AL,MONTGOMERY 6SW,,15,-6,19980331-20211231, 88.2%,20100214-20211231, 95.0%,20160123-20211231, 98.2%
USC00018178,31.9172,-87.7347,118.9,AL,THOMASVILLE,,15,-6,19671102-20140313, 93.5%,19910106-20140313, 93.4%,20020809-20140313, 94.5%
USC00018209,32.9205,-86.6708,207.3,AL,THORSBY EXP STATION,,15,-6,19700301-20211231, 89.6%,19960130-20211231, 90.4%,20090114-20211231, 88.5%
USC00018325,31.8351,-85.9329,168.9,AL,TROY #2,,15,-6,20120510-20211231, 94.7%,20170306-20211231, 96.9%,20190803-20211231, 95.2%
USC00018385,33.2097,-87.5936,46.3,AL,TUSCALOOSA OLIVER DAM,,15,-6,19580113-20211231, 70.8%,19900106-20211231, 59.9%,20060103-20211231, 79.0%
USC00018517,33.7392,-88.1275,90.8,AL,VERNON,,15,-6,19480601-20211231, 84.1%,19850317-20211231, 77.5%,20030809-20211231, 82.6%
USC00018670,33.7924,-86.8258,158.5,AL,WARRIOR,,15,-6,19720425-20211231, 78.4%,19970226-20211231, 82.6%,20090730-20211231, 89.3%
USC00018673,32.7747,-87.8306,33.5,AL,WARRIOR LOCK AND DAM,,15,-6,19571204-20211231, 83.7%,19891217-20211231, 81.2%,20051224-20211231, 84.4%
USC00020080,32.3698,-112.8599,533.7,AZ,AJO,,15,-7,19480701-20211231, 89.8%,19850401-20211231, 82.7%,20030816-20211231, 72.2%
USC00020487,35.1989,-112.4886,1546.9,AZ,ASH FORK 3,,15,-7,19480701-20210921, 89.2%,19850209-20210921, 86.5%,20030601-20210921, 86.8%
USC00020808,33.4783,-109.7516,1848.6,AZ,BLACK RIVER PUMPS,,15,-7,19480701-20211116, 82.6%,19850309-20211116, 72.3%,20030713-20211116, 62.6%
USC00021574,34.5400,-110.9152,2135.4,AZ,CHEVELON RANGER STATION,,15,-7,19820201-20211104, 84.3%,20011218-20211104, 80.4%,20111126-20211104, 86.6%
USC00021749,34.0500,-110.4500,1617.0,AZ,CIBECUE,,15,-7,19800701-20211104, 68.8%,20010303-20211104, 77.1%,20110704-20211104, 79.8%
USC00021870,32.0588,-109.8908,1274.1,AZ,COCHISE 4 SSE,,15,-7,19480701-20211118, 78.2%,19850310-20211118, 61.9%,20030715-20211118, 32.8%
USC00022329,34.2097,-112.3453,1804.4,AZ,CROWN KING,,15,-7,19800601-20211103, 79.7%,20010216-20211103, 74.8%,20110626-20211103, 81.5%
USC00022754,32.7480,-109.1213,1115.6,AZ,DUNCAN,,15,-7,19750828-20211231, 79.4%,19981029-20211231, 68.2%,20100531-20211231, 77.2%
USC00023009,35.1611,-111.7311,2171.7,AZ,FLAGSTAFF 4 SW,,15,-7,20030317-20211106, 66.3%,20120711-20211106, 92.6%,20170309-20211106, 99.8%
USC00024534,31.8352,-110.3552,1429.5,AZ,KARTCHNER CAVERNS,,15,-7,20100302-20211231, 83.7%,20160131-20211231, 95.1%,20190115-20211231, 96.4%
USC00024586,35.8109,-110.1932,1891.3,AZ,KEAMS CANYON,,15,-7,19480701-20160817, 84.4%,19820725-20160817, 78.9%,19990806-20160817, 77.5%
USC00025344,34.3709,-112.1827,1252.1,AZ,MAYER NO. 2,,15,-7,19861201-20211004, 84.8%,20040503-20211004, 85.0%,20130117-20211004, 90.0%
USC00025635,34.6105,-111.8380,969.3,AZ,MONTEZUMA CASTLE NM,,15,-7,19790719-20211105, 87.0%,20000911-20211105, 81.2%,20110409-20211105, 76.2%
USC00025924,31.4554,-110.9680,1054.9,AZ,NOGALES 6 N,,15,-7,19830902-20211231, 80.5%,20021101-20211231, 68.9%,20120601-20211231, 88.7%
USC00026037,34.9599,-111.7553,1560.0,AZ,OAK CREEK CANYON,,15,-7,20160814-20211024, 80.5%,20190320-20211024, 76.0%,20200706-20211024, 52.1%
USC00026117,32.6100,-110.7317,1400.6,AZ,ORACLE STATE PARK,,15,-7,20130815-20211231, 93.2%,20171023-20211231, 99.0%,20191127-20211231, 98.0%
USC00026119,32.6025,-110.7344,1374.6,AZ,ORACLE 2 SE,,15,-7,19500224-20100407, 84.4%,19800316-20100407, 77.4%,19950327-20100407, 60.9%
USC00026468,34.7994,-109.8850,1659.9,AZ,PETRIFIED FOREST NP,,15,-7,19480701-20211101, 87.7%,19850302-20211101, 82.8%,20030702-20211101, 86.8%
USC00027708,34.8955,-111.7644,1286.3,AZ,SEDONA,,15,-7,19730412-20100901, 85.6%,19911222-20100901, 82.1%,20010427-20100901, 84.4%
USC00027876,33.7986,-110.9714,1554.5,AZ,SIERRA ANCHA,,15,-7,19760101-20211104, 80.4%,19981203-20211104, 72.1%,20100520-20211104, 83.2%
USC00029158,34.9281,-112.8097,1551.4,AZ,WALNUT CREEK,,15,-7,19790720-20211104, 83.8%,20000911-20211104, 87.6%,20110409-20211104, 86.2%
USC00029271,33.8215,-109.9840,1575.8,AZ,WHITERIVER 1 SW,,15,-7,19480701-20110920, 90.6%,19800209-20110920, 84.1%,19951130-20110920, 80.2%
USC00030064,35.9307,-91.0550,78.6,AR,ALICIA 2NNE,,15,-6,19480529-20211231, 88.0%,19850315-20211231, 86.0%,20030808-20211231, 94.1%
USC00030130,34.7961,-92.8417,212.8,AR,ALUM FORK,,15,-6,19480501-20211231, 91.3%,19850301-20211231, 89.2%,20030801-20211231, 92.4%
USC00030178,34.0275,-93.4332,91.4,AR,ANTOINE 1 SW,,15,-6,19500810-20211231, 85.9%,19860421-20211231, 77.7%,20040225-20211231, 76.2%
USC00030220,34.1433,-93.0589,59.7,AR,ARKADELPHIA 2 N,,15,-6,19480501-20211231, 91.5%,19850301-20211231, 84.6%,20030801-20211231, 74.3%
