StationId	DataType	FileName	Id	Lat	Long	Scenario	Constituent	SDate	EDate	YrCount	Value	StaNam
010008	WdmFinal	al010008.wdm	1	31.57	-85.248	OBSERVED	PREC	'1970/01/01'	'2006/12/31'	37.00	54.74	ABBEVILLE
010063	WdmFinal	al010063.wdm	1	34.203	-87.181	OBSERVED	PREC	'1970/01/01'	'2006/06/30'	36.50	58.38	ADDISON
010140	WdmFinal	al010140.wdm	1	32.232	-87.411	OBSERVED	PREC	'1970/01/01'	'2006/12/31'	37.00	56.14	ALBERTA
010160	WdmFinal	al010160.wdm	1	32.945	-85.948	COMPUTED	PREC	'1970/01/01'	'2006/12/31'	37.00	57.27	ALEXANDER CITY
010184	WdmFinal	al010184.wdm	1	33.21	-88.288	COMPUTED	PREC	'1980/04/30'	'2006/12/31'	26.67	52.55	ALICEVILLE L AND D
010252	WdmFinal	al010252.wdm	1	31.307	-86.522	OBSERVED	PREC	'1980/03/01'	'2006/12/31'	26.84	58.65	ANDALUSIA 3 W
010272	WdmFinal	al010272.wdm	1	33.587	-85.856	OBSERVED	PREC	'2000/12/31'	'2006/12/31'	6.00	45.97	ANNISTON METRO AP
010369	WdmFinal	al010369.wdm	1	33.294	-85.779	OBSERVED	PREC	'1970/01/01'	'2006/03/31'	36.25	58.14	ASHLAND 3 ENE
010402	WdmFinal	al010402.wdm	1	31.182	-87.439	OBSERVED	PREC	'1970/01/01'	'2006/12/31'	37.00	39.73	ATMORE
010425	WdmFinal	al010425.wdm	1	32.599	-85.465	COMPUTED	PREC	'1996/07/31'	'2006/12/31'	10.42	53.29	AUBURN NO 2
010440	WdmFinal	al010440.wdm	1	32.471	-86.68	COMPUTED	PREC	'1970/01/01'	'2001/09/30'	31.75	52.87	AUTAUGAVILLE 3 N
010505	WdmFinal	al010505.wdm	1	33.453	-87.357	COMPUTED	PREC	'1970/01/01'	'2006/12/31'	37.00	60.59	BANKHEAD LOCK AND DAM
010583	WdmFinal	al010583.wdm	1	30.884	-87.785	COMPUTED	PREC	'1970/01/01'	'2006/12/31'	37.00	68.52	BAY MINETTE
010655	WdmFinal	al010655.wdm	1	34.691	-86.882	COMPUTED	PREC	'1970/01/01'	'2006/12/31'	37.00	54.87	BELLE MINA 2 N
010764	WdmFinal	al010764.wdm	1	33.395	-87.008	COMPUTED	PREC	'1977/01/31'	'2006/12/31'	29.91	58.77	BESSEMER 3 WSW
010823	WdmFinal	al010823.wdm	1	32.673	-86.665	COMPUTED	PREC	'1996/01/01'	'2006/12/31'	11.00	58.22	BILLINGSLEY 3 NE
010831	WdmFinal	al010831.wdm	1	33.566	-86.745	OBSERVED	PREC	'1970/01/01'	'2006/12/31'	37.00	40.98	BIRMINGHAM INTL AP
010957	WdmFinal	al010957.wdm	1	34.201	-86.163	COMPUTED	PREC	'1970/01/01'	'2006/12/31'	37.00	56.42	BOAZ
011080	WdmFinal	al011080.wdm	1	31.141	-87.048	COMPUTED	PREC	'1977/03/31'	'2006/12/31'	29.75	69.63	BREWTON 3 ENE
011084	WdmFinal	al011084.wdm	1	31.058	-87.055	COMPUTED	PREC	'1970/01/01'	'2006/12/31'	37.00	66.59	BREWTON 3 SSE
011099	WdmFinal	al011099.wdm	1	34.979	-85.801	OBSERVED	PREC	'1982/11/01'	'2006/12/31'	24.17	58.17	BRIDGEPORT 5 NW
011143	WdmFinal	al011143.wdm	1	33.254	-87.294	COMPUTED	PREC	'1970/01/01'	'2006/04/30'	36.33	58.35	BROOKWOOD
011178	WdmFinal	al011178.wdm	1	31.706	-85.837	COMPUTED	PREC	'1996/01/01'	'2006/12/31'	11.00	56.20	BRUNDIDGE
011225	WdmFinal	al011225.wdm	1	33.451	-86.715	COMPUTED	PREC	'1981/11/30'	'2006/12/31'	25.09	54.91	CAHABA PUMP HOUSE
011288	WdmFinal	al011288.wdm	1	33.111	-86.746	COMPUTED	PREC	'1990/12/31'	'2006/12/31'	16.00	56.83	CALERA
011301	WdmFinal	al011301.wdm	1	32.029	-87.317	COMPUTED	PREC	'1970/01/01'	'2001/12/31'	32.00	57.08	CAMDEN 3 NW
011324	WdmFinal	al011324.wdm	1	32.824	-85.656	COMPUTED	PREC	'1991/09/01'	'2001/08/31'	10.00	52.50	CAMP HILL 2 NW
011377	WdmFinal	al011377.wdm	1	33.893	-87.528	COMPUTED	PREC	'1970/01/01'	'2005/12/31'	36.00	61.22	CARBON HILL
