StationId	DataType	FileName	Id	Lat	Long	Scenario	Constituent	SDate	EDate	YrCount	Value	StaNam
USC00010008	WdmFinal	USC00010008.dat	1	31.5702	-85.2482	OBSERVED	PREC	'1990/01/01'	'2017/12/31'	28.0	53.5	ABBEVILLE
USC00010063	WdmFinal	USC00010063.dat	1	34.2553	-87.1814	OBSERVED	PREC	'1990/01/01'	'2019/12/31'	30.0	59.59	ADDISON
USC00010140	WdmFinal	USC00010140.dat	1	32.2322	-87.4104	OBSERVED	PREC	'1990/01/01'	'2019/12/31'	30.0	58.49	ALBERTA
USC00010252	WdmFinal	USC00010252.dat	1	31.3071	-86.5226	OBSERVED	PREC	'1990/01/01'	'2017/12/31'	28.0	61.17	ANDALUSIA 3 W
USC00010369	WdmFinal	USC00010369.dat	1	33.2941	-85.7788	OBSERVED	PREC	'1990/01/01'	'2012/12/31'	23.0	55.87	ASHLAND 3 ENE
USC00010390	WdmFinal	USC00010390.dat	1	34.7752	-86.9508	OBSERVED	PREC	'1990/01/01'	'2019/12/31'	30.0	57.21	ATHENS
USC00010402	WdmFinal	USC00010402.dat	1	31.182	-87.439	OBSERVED	PREC	'1990/01/01'	'2019/12/31'	30.0	63.3	ATMORE
USC00010425	WdmFinal	USC00010425.dat	1	32.5992	-85.4653	OBSERVED	PREC	'1990/01/01'	'2019/12/31'	30.0	41.66	AUBURN NO.2
USC00010748	WdmFinal	USC00010748.dat	1	33.6971	-87.6488	OBSERVED	PREC	'1990/01/01'	'2019/12/31'	30.0	57.53	BERRY 3 NW
USC00010957	WdmFinal	USC00010957.dat	1	34.2008	-86.1633	OBSERVED	PREC	'1990/01/01'	'2019/12/31'	30.0	57.4	BOAZ
USC00011099	WdmFinal	USC00011099.dat	1	34.9786	-85.8008	OBSERVED	PREC	'1990/01/01'	'2019/12/31'	30.0	59.3	BRIDGEPORT 5 NW
USC00012124	WdmFinal	USC00012124.dat	1	32.8622	-85.7358	OBSERVED	PREC	'1990/01/01'	'2019/12/31'	30.0	50.7	DADEVILLE 2
USC00012172	WdmFinal	USC00012172.dat	1	30.2505	-88.0775	OBSERVED	PREC	'1990/01/01'	'2019/12/31'	30.0	65.42	DAUPHIN ISLAND #2
USC00012377	WdmFinal	USC00012377.dat	1	31.2833	-85.4	OBSERVED	PREC	'1990/01/01'	'2019/12/31'	30.0	55.42	DOTHAN 4 NW
