StnID,Lat,Lon,Elev,State/Province,Name,WMO_ID,Sample_Interval (min),UTC_Offset,POR_Date_Range,PCT_POR_Good,Last_Half_POR,PCT_Last_Half_Good,Last_Qtr_POR,PCT_Last_Qtr_Good
USC00010008,31.5702,-85.2482,139.0,AL,ABBEVILLE,,15,-6,19480601-20180418, 83.4%,19830510-20180418, 70.0%,20001028-20180418, 65.3%
USC00010063,34.2553,-87.1814,249.3,AL,ADDISON,,15,-6,19480601-20200703, 85.6%,19840617-20200703, 82.1%,20020625-20200703, 72.4%
USC00010140,32.2322,-87.4104,53.3,AL,ALBERTA,,15,-6,19630926-20200801, 94.1%,19920228-20200801, 91.5%,20060516-20200801, 89.0%
USC00010252,31.3071,-86.5226,76.2,AL,ANDALUSIA 3 W,,15,-6,19800301-20180205, 88.7%,19990217-20180205, 91.4%,20080812-20180205, 95.7%
USC00010369,33.2941,-85.7788,311.5,AL,ASHLAND 3 ENE,,15,-6,19480601-20130804, 84.6%,19810101-20130804, 81.3%,19970418-20130804, 70.7%
USC00010390,34.7752,-86.9508,210.0,AL,ATHENS,,15,-6,19820601-20200803, 82.5%,20010702-20200803, 88.7%,20110117-20200803, 97.5%
USC00010402,31.1820,-87.4390,91.4,AL,ATMORE,,15,-6,19480601-20200803, 62.5%,19840702-20200803, 83.6%,20020718-20200803, 89.4%
USC00010425,32.5992,-85.4653,166.1,AL,AUBURN NO.2,,15,-6,20001201-20200701, 81.4%,20100916-20200701, 92.6%,20150809-20200701, 96.6%
USC00010748,33.6971,-87.6488,150.3,AL,BERRY 3 NW,,15,-6,19480601-20200701, 78.6%,19840616-20200701, 79.5%,20020624-20200701, 80.4%
USC00010957,34.2008,-86.1633,326.1,AL,BOAZ,,15,-6,19480601-20200806, 81.8%,19840704-20200806, 72.0%,20020721-20200806, 85.5%
USC00011099,34.9786,-85.8008,202.4,AL,BRIDGEPORT 5 NW,,15,-6,19821101-20200804, 86.8%,20010917-20200804, 90.5%,20110225-20200804, 96.3%
USC00012124,32.8622,-85.7358,223.4,AL,DADEVILLE 2,,15,-6,19480601-20200701, 87.7%,19840616-20200701, 80.2%,20020624-20200701, 71.8%
USC00012172,30.2505,-88.0775,2.4,AL,DAUPHIN ISLAND #2,,15,-6,19750801-20200803, 91.8%,19980131-20200803, 88.7%,20090503-20200803, 89.5%
USC00012377,31.2833,-85.4000,95.1,AL,DOTHAN 4 NW,,15,-6,19520401-20200704, 84.0%,19860518-20200704, 82.0%,20030611-20200704, 78.7%
USC00012675,31.2975,-85.8996,102.7,AL,ENTERPRISE 4 W,,15,-6,19710401-20200701, 79.8%,19951115-20200701, 74.0%,20080308-20200701, 62.7%
USC00013043,34.4406,-85.7236,279.5,AL,FORT PAYNE,,15,-6,19480601-20200803, 84.6%,19840702-20200803, 82.3%,20020718-20200803, 93.5%
USC00013519,31.7901,-86.6087,104.2,AL,GREENVILLE,,15,-6,19710901-20200804, 88.4%,19960217-20200804, 83.2%,20080511-20200804, 90.6%
USC00013620,34.2314,-87.6352,280.4,AL,HALEYVILLE,,15,-6,19480601-20200705, 85.1%,19840618-20200705, 78.3%,20020627-20200705, 74.6%
USC00013645,34.0966,-87.9913,132.6,AL,HAMILTON 3 S,,15,-6,19671103-20200701, 81.8%,19940303-20200701, 80.8%,20070502-20200701, 90.7%
USC00014193,31.5253,-87.9277,67.1,AL,JACKSON,,15,-6,19611023-20200803, 80.6%,19910314-20200803, 85.8%,20051122-20200803, 91.0%
USC00014209,33.8259,-85.7812,192.0,AL,JACKSONVILLE,,15,-6,19480601-20200706, 82.2%,19840618-20200706, 72.1%,20020627-20200706, 73.3%
USC00015397,32.0347,-85.4740,125.6,AL,MIDWAY,,15,-6,19480601-20200701, 82.9%,19840616-20200701, 76.7%,20020624-20200701, 63.5%
USC00015553,32.2600,-86.2180,68.6,AL,MONTGOMERY 6SW,,15,-6,19980331-20200701, 87.2%,20090516-20200701, 92.6%,20141208-20200701, 98.5%
USC00018178,31.9172,-87.7347,118.9,AL,THOMASVILLE,,15,-6,19671102-20140313, 93.3%,19910106-20140313, 92.9%,20020809-20140313, 93.5%
USC00018209,32.9205,-86.6708,207.3,AL,THORSBY EXP STATION,,15,-6,19700301-20200714, 89.0%,19950508-20200714, 89.1%,20071210-20200714, 85.7%
USC00018325,31.8351,-85.9329,168.9,AL,TROY #2,,15,-6,20120510-20200707, 93.3%,20160608-20200707, 94.3%,20180623-20200707, 95.0%
USC00018385,33.2097,-87.5936,46.3,AL,TUSCALOOSA OLIVER DAM,,15,-6,19580113-20200701, 70.2%,19890407-20200701, 56.8%,20041118-20200701, 76.0%
USC00018517,33.7392,-88.1275,90.8,AL,VERNON,,15,-6,19480601-20200705, 84.0%,19840618-20200705, 76.8%,20020627-20200705, 81.0%
USC00018670,33.7924,-86.8258,158.5,AL,WARRIOR,,15,-6,19720425-20200604, 78.2%,19960515-20200604, 82.1%,20080525-20200604, 88.1%
USC00018673,32.7747,-87.8306,33.5,AL,WARRIOR LOCK AND DAM,,15,-6,19571204-20200701, 83.1%,19890318-20200701, 80.3%,20041108-20200701, 82.3%
USC00020080,32.3698,-112.8599,533.7,AZ,AJO,,15,-7,19480701-20200801, 88.9%,19840716-20200801, 80.9%,20020724-20200801, 67.0%
USC00020487,35.1989,-112.4886,1546.9,AZ,ASH FORK 3,,15,-7,19480701-20200727, 88.4%,19840714-20200727, 85.0%,20020721-20200727, 82.8%
USC00020808,33.4783,-109.7516,1848.6,AZ,BLACK RIVER PUMPS,,15,-7,19480701-20200802, 82.3%,19840717-20200802, 71.5%,20020725-20200802, 57.1%
USC00021574,34.5400,-110.9152,2135.4,AZ,CHEVELON RANGER STATION,,15,-7,19820201-20200730, 83.4%,20010501-20200730, 78.9%,20101215-20200730, 81.8%
